psi_n,dT_dpsi_native_N_m,two_n_delta_W_native,T_cumulative_native_N_m,two_n_delta_W_cumulative_native,dV_dpsi_n_native
0.655480077,-681638582.0,-1589105570.0,7462.73465,146068.266,854.263707
0.65548328,-592430597.0,-3965254930.0,5314.35346,136321.443,854.267125
0.655486483,-354936361.0,-3928824330.0,3825.85034,123242.083,854.270543
0.655490047,-201645541.0,-3038526580.0,2864.48953,110864.125,854.274346
0.65549361,-125054154.0,-2331945550.0,2297.66153,101368.924,854.278148
0.655499567,-65997775.3,-1579860960.0,1754.52406,89939.7011,854.284504
0.655505523,-41243666.1,-1156919550.0,1443.33697,81894.8483,854.290861
0.655515278,-22528973.9,-767348099.0,1145.79077,72718.5513,854.30127
0.655525032,-14613794.4,-559585798.0,968.702508,66333.4331,854.31168
0.655542094,-8079566.77,-359888385.0,783.449756,58689.6266,854.32989
0.655559156,-5329352.7,-257618579.0,671.472383,53498.4103,854.3481
0.655589019,-3021893.9,-161197988.0,551.854187,47420.8229,854.379973
0.655618881,-2030748.63,-113102582.0,477.889169,43389.9386,854.411848
0.655670269,-1190280.82,-69155208.9,398.164684,38847.7562,854.466708
0.655721658,-813394.02,-47622911.6,347.614309,35898.3884,854.521575
0.65581069,-482972.198,-28211351.3,291.891522,32634.4687,854.61665
0.655899723,-328997.178,-18943509.0,256.377605,30573.908,854.711748
0.656026282,-210549.992,-11900514.7,223.076776,28673.449,854.846969
0.656171606,-140610.233,-7840525.0,198.051291,27268.8666,855.002293
0.656400343,-83327.4889,-4623930.15,173.237756,25890.3994,855.246891
0.656670786,-50829.3175,-2869132.37,155.569449,24903.6977,855.536276
0.657019524,-29697.1131,-1753875.57,141.949767,24120.1864,855.909744
0.65740741,-18027.9594,-1139659.12,132.937342,23571.5341,856.325537
0.658149993,-7806.30923,-584986.938,123.952612,22962.1545,857.122743
0.658892577,-3888.30843,-351901.907,119.783341,22623.1291,857.921539
0.659788981,-1740.98479,-205499.169,117.394204,22380.5921,858.887951
0.660685385,-815.13338,-127684.448,116.29711,22234.2142,859.856758
0.661773815,-305.558414,-72295.1311,115.727108,22128.1167,861.036381
0.662862245,-101.219988,-39334.0117,115.52121,22068.7007,862.219675
0.664252621,-11.0068247,-13278.7381,115.457519,22033.6669,863.736696
0.66628784,-1.03413142,8462.7919,115.455976,22031.0244,865.968661
0.669612746,-24.6129432,26331.7685,115.406848,22092.6224,869.64521
0.673914212,-22.6830465,36886.2583,115.292739,22231.3113,874.457949
0.678703957,-6.59466858,42568.8634,115.226855,22423.0645,879.889138
0.686190232,0.411157453,46961.9622,115.216002,22760.2045,888.524166
0.694188131,-0.329930334,49382.4153,115.213261,23146.2121,897.949852
0.703209279,0.525227988,51182.7309,115.2155,23600.2862,908.840603
0.713126719,0.224192288,52673.5557,115.219627,24115.5225,921.141244
0.724836744,0.471234262,54208.7057,115.22195,24741.4214,936.118915
0.735707017,0.410829146,55598.287,115.228776,25338.2139,950.490912
0.743695353,0.65350104,56661.1442,115.231548,25786.5541,961.343996
0.749285016,0.598322022,57453.6073,115.23598,26105.4611,969.08666
0.753450914,0.452209329,58094.0045,115.237723,26346.1199,974.938561
0.755497438,0.287381969,58439.1212,115.238619,26465.3585,977.839396
0.755640594,0.228092567,58464.3482,115.238656,26473.7262,978.042961
0.756172919,0.0518317959,58559.8147,115.23872,26504.8736,978.800671
