m,s_tor,tangential_current,rational_s_tor
4,0.6085837140221827,0.0013331244383241849,0.3367832353310154
4,0.6094466311998917,0.0013561320500228215,0.3367832353310154
4,0.6099715902434248,0.001418696782136807,0.3367832353310154
4,0.6103921186009112,0.0013760076214045824,0.3367832353310154
4,0.6107731001732044,0.0012425255394007272,0.3367832353310154
4,0.6111626523151006,0.0013214023878745495,0.3367832353310154
4,0.6115920086074463,0.0013323107538716164,0.3367832353310154
4,0.6121561490768876,0.0013418106113943845,0.3367832353310154
4,0.6129891397191055,0.0013577058266595547,0.3367832353310154
4,0.6145534725689341,0.0013441958052491144,0.3367832353310154
4,0.6180525909340668,0.0012090968935380443,0.3367832353310154
4,0.6248653470479151,0.0006366087304660684,0.3367832353310154
4,0.6339862580126657,0.0002789669396943143,0.3367832353310154
4,0.6443209720651727,0.00022599577080408364,0.3367832353310154
4,0.6552433383598982,0.00022353531167821597,0.3367832353310154
4,0.6663417597530473,0.00023345597093103095,0.3367832353310154
4,0.6773710276192951,0.00027329803672834107,0.3367832353310154
4,0.688047829773765,0.00036658379526411045,0.3367832353310154
4,0.6978758915954021,0.0006822004326170043,0.3367832353310154
4,0.7046577646043548,0.0010086541649701832,0.3367832353310154
4,0.7078339714406493,0.001156754206189718,0.3367832353310154
4,0.709762221590704,0.0011987942498451404,0.3367832353310154
4,0.710657542440771,0.0012336625146882154,0.3367832353310154
4,0.7112641807590891,0.0012517521661446673,0.3367832353310154
4,0.7117364668176576,0.0012198187851229392,0.3367832353310154
4,0.7121605496102487,0.0012903943277831089,0.3367832353310154
4,0.7125464115661436,0.00121473661774556,0.3367832353310154
4,0.7129497960047939,0.0012060872039582335,0.3367832353310154
4,0.7134067533527156,0.001249427931138918,0.3367832353310154
4,0.7139910409170689,0.001256044295506558,0.3367832353310154
4,0.7147954392385885,0.0012385401013853049,0.3367832353310154
4,0.7161355196300384,0.0012450647144281132,0.3367832353310154
4,0.7189106540325502,0.0011020491247037921,0.3367832353310154
4,0.7247504147697801,0.0008229337813780522,0.3367832353310154
4,0.7337769518479527,0.00033409506326276934,0.3367832353310154
4,0.7445134909587583,0.00015718254582748663,0.3367832353310154
4,0.7556871156074723,0.0002309063806189692,0.3367832353310154
4,0.7670070514878989,0.0002819805327750126,0.3367832353310154
4,0.7772260495585382,0.0004989544216300951,0.3367832353310154
4,0.7849921974545211,0.0011895813505910927,0.3367832353310154
4,0.7900614569180684,0.0018595991826986095,0.3367832353310154
4,0.7921716063479649,0.0020802179095830943,0.3367832353310154
4,0.7933501098083949,0.002214436227952864,0.3367832353310154
4,0.7941809698775723,0.00231464770301849,0.3367832353310154
4,0.794686495362746,0.003813509055920283,0.3367832353310154
4,0.7951925552751617,0.005693378513784446,0.3367832353310154
4,0.7956074149922363,0.0023220395760313647,0.3367832353310154
4,0.7959979476580268,0.0024481329468700077,0.3367832353310154
4,0.7963887715086381,0.00234577261917429,0.3367832353310154
4,0.7968915080621912,0.002516977134152372,0.3367832353310154
4,0.7974651597230579,0.0024355212652351697,0.3367832353310154
4,0.7981564225448036,0.002318831201556533,0.3367832353310154
4,0.799235074093926,0.00246067293810947,0.3367832353310154
4,0.8012286767779236,0.0024581091153449875,0.3367832353310154
4,0.8054490941008836,0.0021106939395922433,0.3367832353310154
4,0.8127839230667862,0.0010555303146527926,0.3367832353310154
4,0.8225120844269674,0.0007774767124165094,0.3367832353310154
4,0.8333846897654696,0.0025888371637264396,0.3367832353310154
4,0.843357604447922,0.002278799210890628,0.3367832353310154
4,0.8515907145832597,0.0012844240154310919,0.3367832353310154
4,0.8562510987817241,0.002121194948479956,0.3367832353310154
4,0.8585007081901389,0.0027383582018690135,0.3367832353310154
4,0.8597760056887205,0.003109236579288322,0.3367832353310154
4,0.8605557361539968,0.0031830685009528034,0.3367832353310154
4,0.8612596122721404,0.00388470717331873,0.3367832353310154
4,0.8616898153681766,0.002006122766213998,0.3367832353310154
4,0.8621165187819985,0.002880153735955797,0.3367832353310154
4,0.8625435679859254,0.0032721212866527612,0.3367832353310154
4,0.8629795027617102,0.004029515206360649,0.3367832353310154
4,0.8634167858869513,0.0028233728260296945,0.3367832353310154
4,0.8638544919966143,0.0036035946457681207,0.3367832353310154
4,0.8644522135266938,0.004817814526655765,0.3367832353310154
4,0.8652619503801813,0.006388644169014583,0.3367832353310154
4,0.8664117780581291,0.009590410918669391,0.3367832353310154
4,0.8683355056410028,0.015446628574289351,0.3367832353310154
4,0.8720439236116179,0.028070441580061133,0.3367832353310154
