component,rho_pol,mars_rms,neort_rms,relative_residual
J2,0.97341502,0.22090381953405977,0.34402814923941216,0.6258303561666638
J2,0.9745911,0.70639575587337,0.8124545575605711,0.15529855108170934
J2,0.97589392,0.390542109898267,0.3293571206035388,0.18777287022258501
J2,0.97681545,0.22632388510529314,0.2521644182476802,0.17123576631884524
J2,0.97740737,0.46605465408040586,0.5011925645439519,0.0790658083717315
J2,0.97770143,0.5944988392420977,0.632571599436527,0.0862165942729011
J2,0.97789544,0.6736604134327762,0.5739360669910225,0.283860886040032
J2,0.978054,0.7257679317951897,0.8808891532680343,0.2917206572408742
J2,0.97823017,0.7321830361896274,0.7139971031739266,0.03836589603281495
J2,0.97842127,0.691876727524335,0.675791383416024,0.049551936833747076
J2,0.97872145,0.5900550254882596,0.614185718388358,0.04467048354669909
J2,0.97922491,0.22299390397421154,0.3166860553722986,0.45906657349600327
J2,0.98009928,0.6907249105419204,0.66422816414686,0.051795457219798585
J2,0.98110842,1.1148182726711802,1.1847113487174763,0.06418428090106527
J2,0.98185153,0.6583142772887656,0.9960411843361642,0.5160869790409546
J2,0.98224474,2.7158906651160795,2.8928133988229323,0.0653699605701261
J2,0.98254539,1.191052998896005,0.9704627433929154,0.2021587720049491
J2,0.98273162,2.8274105905682134,3.1137937755674487,0.10189129237639387
J2,0.98287368,4.97091693639577,5.021243254712487,0.010447666698065987
J2,0.98302561,5.292245429650454,5.4174547811067635,0.023909447423585084
J2,0.98320914,3.5893698286878055,3.7533480202261424,0.04584462484624299
J2,0.98344078,1.020518679502318,1.1108420823728329,0.09513243992387183
J2,0.98382677,0.6501497643279104,0.6304927966090962,0.05774190990293487
J2,0.98445126,0.6905691013814081,0.7268362080892222,0.05449906947697735
J2,0.98522658,0.34932218449677555,0.32048649106796745,0.08945493473658427
J2,0.98584839,0.154257250127205,0.14169951226649963,0.11332610582306944
J2,0.98623456,0.09454091368786127,0.09515145064077772,0.1795839057883478
J2,0.98646546,0.07571694281029943,0.0803246059524449,0.31833528746565737
J2,0.98665138,0.07895610049179339,0.07588465317145628,0.15546330593959384
J2,0.98677796,0.08068043802227694,0.28586284721023053,3.1440058029123397
J2,0.98690454,0.09171971818611113,0.31834973376765036,3.772394980711994
J2,0.98705588,0.09656854307147875,0.24112587249596637,1.8889592818678593
J2,0.98722558,0.10941238285391736,0.09230426847948046,0.3767774793124408
J2,0.98748862,0.14214892289312112,0.1409432282731864,0.023939114624719926
J2,0.98788301,0.16524004904337153,0.17001338234923616,0.06759981273241986
J2,0.9884207,0.17124668262855408,0.16812379181802853,0.11996583142747688
J2,0.98895169,0.24976061935692653,0.2653003551420061,0.09950120361921165
J2,0.9893318,0.13333577013914905,0.14187015240301326,0.27142512408004743
J2,0.98960588,0.32262678219490376,0.39341185994752076,0.24403366047088879
J2,0.98974919,2.0164528814744327,1.9485524915238683,0.034757244308818956
J2,0.98989251,4.7472820042987625,4.884014755715964,0.038362830021533775
J2,0.99002755,6.617080599405808,6.683600426389953,0.02643822569492569
J2,0.99014691,5.773036791675843,5.854903430021686,0.015981838918328908
J2,0.99026956,2.8513495342596684,3.177976228097669,0.12531263585698693
J2,0.99044997,0.24590391310457824,0.2278362955275685,0.17049564885156243
J2,0.99068467,0.4134723219534897,0.4555717119235361,0.1287087777860029
J2,0.991012,0.2215541372630995,0.21555976353539158,0.22058061218505723
J2,0.99140612,0.11390674588494754,0.15580301339544964,0.458605568123493
J2,0.99176111,0.26170700628944504,0.295356107843345,0.17716932299369328
J2,0.99202007,0.09551949194499018,0.07191539868662139,0.3543160608186332
J2,0.99220604,0.07386462878231516,0.09153489859878391,0.3019711095683383
J2,0.99234462,0.07323879128704132,0.14956787527500146,1.2731615593612655
J2,0.99246494,0.07597564103422681,0.07933959663808454,1.0856966408334425
J2,0.99256788,0.07679185735731259,0.08012203148626022,1.0440847974834508
J2,0.99267649,0.0757436465016333,0.17541231749329925,1.697067831946595
J2,0.99279388,0.07267321682782742,0.13197815203829663,1.997032385322314
J2,0.99294354,0.06913843833174195,0.19014295019415328,2.0553421885546843
J2,0.99313317,0.07846936183570717,0.08652442281050131,1.6317012251145757
J2,0.99337436,0.08495744095773516,0.15292561499555074,0.909991888846702
J2,0.99364303,0.12238650311869358,0.1345956462663078,0.11837663896432864
J2,0.99388438,0.09953281365178848,0.09680765107100085,0.3508782037006963
J2,0.99407356,0.11124936878305355,0.15957669311231007,1.1085347706768707
J2,0.99422074,0.3001975413708876,0.5458309204651256,1.1505582513700854
J2,0.99433707,0.06514690951362039,0.32081836853404216,4.385995320644628
J2,0.99443704,0.6502139802761704,0.608362186671342,0.21075975664933294
J2,0.99452969,0.886863705914426,1.2154526619062298,0.5010187943425174
J2,0.99462797,0.1728596663065294,0.3172735414182781,1.6594092923219312
J2,0.99472997,3.9400305382077834,3.5015942166245133,0.1125077523171868
J2,0.99485645,9.743563800867534,10.025498735410485,0.029372067017159522
J2,0.99500381,7.704091356528374,8.570411958386394,0.11265767138082697
J2,0.99518488,1.1884208943456045,2.045382268463056,0.7226556143159601
J2,0.99538209,0.7145495778774463,1.1807125675180956,0.6576117092792517
J2,0.99556946,0.09719677928394407,0.27351181690449605,2.0247527313245595
J2,0.995726,1.2382454858078025,1.3497619464904114,0.11378984578371802
J2,0.99584976,0.06468733922184106,0.10563661823596805,1.8053677978437235
J2,0.99595117,0.6619753800435012,0.70324201966147,0.11295545554717307
J2,0.99604385,0.5421789617251433,0.5605502122042221,0.1620366760366453
J2,0.99612522,0.1713243863388167,0.7482174618090843,4.192189508762872
J2,0.99620779,0.133788869015084,0.9664569800586513,7.459999084332413
J2,0.99629274,0.2376316602697329,0.8256860510085455,3.1532134064730375
J2,0.99638692,0.2148372266556852,0.43997147280861687,1.945437532419115
J2,0.99648974,0.14719683412024953,0.3600441719412202,1.9892582772770273
J2,0.99661006,0.09741042297377095,0.1837211504958279,2.073461561751092
J2,0.99673657,0.07618541661222457,0.07613226584776436,0.2583392400283373
J2,0.99685966,0.06875731644249952,0.3402807721582569,4.319188791951414
J2,0.9969728,0.0646442513082509,0.4474507942396331,7.440624185712072
J2,0.99707287,0.0595668129284628,0.5450674864198695,8.591429551922623
J2,0.99715689,0.06384749928642151,0.3581690724239395,5.869304819853012
