component,field,s_tor,rho_tor,spectral_norm
J1,vacuum,0.00010735707459747507,0.01036132590923937,5.259731415804974e-05
J1,vacuum,0.00027911588025903415,0.016706761513202797,1.1988006131670842e-05
J1,vacuum,0.0005367392006026118,0.023167632606777323,9.598066978681741e-06
J1,vacuum,0.0008802072366784726,0.029668286716264435,8.942892807546196e-06
J1,vacuum,0.0013094964035694355,0.03618696455312929,8.895355325292976e-06
J1,vacuum,0.0018245953340120225,0.04271528220686389,8.876951843224966e-06
J1,vacuum,0.0024254980996628686,0.04924934618513091,8.876946777760618e-06
J1,vacuum,0.003112238042626268,0.05578743624353308,8.897357011995987e-06
J1,vacuum,0.0038848922502306687,0.06232890381059712,8.913562446946104e-06
J1,vacuum,0.004743561024367148,0.06887351467993447,8.939009594724109e-06
J1,vacuum,0.005688368783583975,0.07542127540411905,8.965776444850348e-06
J1,vacuum,0.006719443906703449,0.0819722142356997,8.998373254282694e-06
J1,vacuum,0.007836908410282296,0.08852631478991033,9.031315288749737e-06
J1,vacuum,0.009040879754914567,0.09508354092541235,9.074256702289333e-06
J1,vacuum,0.010331450617744615,0.10164374362322855,9.114295210339956e-06
J1,vacuum,0.011708733774138773,0.10820690261780333,9.158534433815788e-06
J1,vacuum,0.013172881563961038,0.1147731744091843,9.20194270215016e-06
J1,vacuum,0.014724048046808227,0.12134268847692566,9.245272839451079e-06
J1,vacuum,0.016362395633463468,0.12791558010447152,9.287812333379197e-06
J1,vacuum,0.01808804395195005,0.13449179882784695,9.327552488734588e-06
J1,vacuum,0.01990113744773817,0.14107139131566743,9.366600105311479e-06
J1,vacuum,0.021801884413277003,0.1476546118930154,9.40292647205893e-06
J1,vacuum,0.02379045729663574,0.15424155502534245,9.44388066528211e-06
J1,vacuum,0.025866973129083808,0.1608321271670676,9.472195992386978e-06
J1,vacuum,0.028031487511528015,0.16742606580675548,9.505099533002853e-06
J1,vacuum,0.030284071885262172,0.17402319352678874,9.52198787029999e-06
J1,vacuum,0.03262483188392654,0.1806234533052852,9.554705592266383e-06
J1,vacuum,0.0350538257694524,0.1872266694930303,9.573450648091455e-06
J1,vacuum,0.03757109312669024,0.1938326420567244,9.598424522076613e-06
J1,vacuum,0.040176693753521175,0.2004412476351142,9.613004925138577e-06
J1,vacuum,0.04287068408203963,0.20705237038498167,9.634106188731625e-06
J1,vacuum,0.04565312016368821,0.21366590781799563,9.650626974657463e-06
J1,vacuum,0.0485240577995049,0.22028176910381145,9.671995955514178e-06
J1,vacuum,0.05148356022293118,0.2268998903105314,9.688692421351912e-06
J1,vacuum,0.054531733393736556,0.23352030617001288,9.708795601088478e-06
J1,vacuum,0.05766864666297616,0.24014297129621795,9.72206905618801e-06
J1,vacuum,0.06089442560349297,0.24676795902931356,9.73863781515211e-06
J1,vacuum,0.06420929220067112,0.25339552521832565,9.76029186152114e-06
J1,vacuum,0.06761342955548495,0.2600258247857027,9.776067362854463e-06
J1,vacuum,0.07110698892028194,0.26665893744684793,9.795467251794844e-06
J1,vacuum,0.07469008017476123,0.27329485940054055,9.80863177584108e-06
J1,vacuum,0.07836279856798756,0.2799335609890096,9.839216965711143e-06
J1,vacuum,0.08212523731624828,0.28657501167451477,9.846655198731441e-06
J1,vacuum,0.08597746704028522,0.2932191450780205,9.871507540683734e-06
J1,vacuum,0.08991956480783639,0.2998659113801307,9.891121471103157e-06
J1,vacuum,0.0939515463467128,0.3065151649538939,9.913089726423026e-06
J1,vacuum,0.09807331325845403,0.3131665902653954,9.9359091844185e-06
J1,vacuum,0.10228498018193376,0.3198202310391476,9.956606084335205e-06
J1,vacuum,0.10658676810114756,0.326476290258799,9.976435597579184e-06
J1,vacuum,0.1109787543285336,0.33313473899990315,1.0010633264229847e-05
J1,vacuum,0.11546101061130032,0.3397955423652587,1.0023074404566295e-05
J1,vacuum,0.1200332548911571,0.34645815748969905,1.0053864581030697e-05
J1,vacuum,0.12469542370285852,0.35312239195901823,1.007674003916267e-05
J1,vacuum,0.1294479797663618,0.3597887988339295,1.0120968604414884e-05
J1,vacuum,0.13429143639722452,0.3664579599315923,1.009854511097459e-05
J1,vacuum,0.13922623497009337,0.37313031901748933,1.0197989692561976e-05
J1,vacuum,0.14425251523271226,0.3798058915192236,1.0188278404782284e-05
J1,vacuum,0.14936931889195115,0.38648327116700815,1.0225096768815169e-05
J1,vacuum,0.154576470795195,0.39316214313587594,1.0235019614705415e-05
J1,vacuum,0.15987484020635317,0.39984351965031667,1.027624459855319e-05
J1,vacuum,0.16526466096217649,0.40652756482454727,1.0300469838653253e-05
J1,vacuum,0.17074624777464417,0.4132145299655424,1.0334612661088082e-05
J1,vacuum,0.17631991508488187,0.41990464999197363,1.0371139897089182e-05
J1,vacuum,0.18198552743282234,0.42659761770645455,1.040633131281073e-05
J1,vacuum,0.18774242443874928,0.43329253909887405,1.0433700328261096e-05
J1,vacuum,0.1935912705560791,0.43999008006553864,1.0478527407070577e-05
J1,vacuum,0.19953328964375452,0.4466914926923889,1.0493210739612644e-05
J1,vacuum,0.2055688989122222,0.4533970653987762,1.0525865000334329e-05
J1,vacuum,0.2116985759781783,0.4601071353263045,1.0560845969772684e-05
J1,vacuum,0.2179228400511427,0.46682206465755527,1.0644158291226606e-05
J1,vacuum,0.22424222632583207,0.4735422117676861,1.0554973791101101e-05
J1,vacuum,0.23065739276533392,0.4802680426234229,1.0795343755208088e-05
J1,vacuum,0.23716882405029957,0.4869998193534568,1.0801163830041952e-05
J1,vacuum,0.24377637341116537,0.49373715012257824,1.0720851404866242e-05
J1,vacuum,0.2504799310268667,0.5004797009138999,1.0816601720047559e-05
J1,vacuum,0.25727928011680196,0.5072270498670215,1.0872303868789403e-05
J1,vacuum,0.2641735117934597,0.5139781238471728,1.088662126990966e-05
J1,vacuum,0.2711610978736414,0.5207313106330763,1.096846702957722e-05
J1,vacuum,0.27823951605735375,0.5274841382045092,1.0945345576861165e-05
J1,vacuum,0.28540466571897277,0.5342327823327325,1.1031909881756014e-05
J1,vacuum,0.2926495050469299,0.540970891127175,1.1066062586901262e-05
J1,vacuum,0.2999607030847625,0.5476866833188136,1.1095666424660048e-05
