source,component,s_tor,rho_tor,dT_phi_ds_N_m,cumulative_T_phi_N_m
mars_native_staggered,total,0.8609076742130686,0.9278511056269042,37.281350992344194,7148.927428775691
mars_native_staggered,total,0.8614747138201585,0.9281566213846446,-127.87048131062856,7148.8724184987395
mars_native_staggered,total,0.8619031670750875,0.9283874013982997,2.1907286252418343,7148.873353290122
mars_native_staggered,total,0.8623300433839619,0.9286172749760592,-225.5614789083223,7148.777027440118
mars_native_staggered,total,0.8627615353738178,0.9288495762898413,146.88224007629108,7148.841058516513
mars_native_staggered,total,0.8631981443243307,0.9290845732893915,139.28227901304135,7148.90196430677
mars_native_staggered,total,0.8636356389417827,0.9293199873788268,-100.9221816898208,7148.857790051245
mars_native_staggered,total,0.8641533527616541,0.929598490081419,-184.23175622835407,7148.747670764023
mars_native_staggered,total,0.8648570819534376,0.9299769254951639,136.28829233290176,7148.858028417023
mars_native_staggered,total,0.8658368642191552,0.9305035541141985,213.40809463089906,7149.103410950927
mars_native_staggered,total,0.8673736418495659,0.9313289654303499,196.84710150858504,7149.482091149708
mars_native_staggered,total,0.8701897146263103,0.9328395974798188,332.52711551210274,7150.71524068059
mars_native_staggered,total,0.8760544193731192,0.935977787863109,-688.884440497585,7145.18970442303
mars_native_staggered,total,0.8852049201384783,0.9408532936321572,-260.499827810132,7142.511763586133
mars_native_staggered,total,0.8963967593148494,0.9467823188647163,531.7245103605551,7148.947580710459
mars_native_staggered,total,0.9090120273182357,0.9534212223976535,-72.6734034417913,7147.99360656095
mars_native_staggered,total,0.922142057280099,0.9602822799990111,-0.6170595200840966,7147.985502599636
mars_native_staggered,total,0.9350904516035834,0.967000750570331,122.77763752023063,7149.552586810047
mars_native_staggered,total,0.9466699950081958,0.9729696783601203,-16.94312794297233,7149.376454685759
mars_native_staggered,total,0.9559041922291684,0.9777035298234166,-262.9513893639387,7147.253673358101
mars_native_staggered,total,0.9616768555124007,0.9806512405092855,-562.5719216060971,7145.3001859322185
mars_native_staggered,total,0.9643777116098327,0.982027347689377,-1373.578005368405,7142.650156108341
mars_native_staggered,total,0.9658823401012826,0.9827931318956612,-202.16906993534406,7142.431820116301
mars_native_staggered,total,0.9669184403876508,0.9833201108426751,-1259.2467378222025,7141.182353650781
mars_native_staggered,total,0.9676653839393572,0.9836998444339398,-6195.607802823693,7138.074303035171
mars_native_staggered,total,0.9681672363398759,0.9839548954804157,-1180.315558011567,7137.481724507367
mars_native_staggered,total,0.9686695131121799,0.984210096022277,1764.8434690425956,7138.368562958638
mars_native_staggered,total,0.9691327092732038,0.9844453815591822,-3138.8541936439583,7137.038034961598
mars_native_staggered,total,0.969553483930127,0.9846590698968486,-3681.11016655079,7135.5005839514315
mars_native_staggered,total,0.9699712860515797,0.9848712027730223,-4354.1473979550665,7133.680791384395
mars_native_staggered,total,0.970467674597336,0.9851231773729293,-1450.865504556603,7132.846786809692
mars_native_staggered,total,0.9710498827129755,0.9854186332280183,90.09203591550065,7132.89990361276
mars_native_staggered,total,0.9717901276003653,0.9857941608674528,-1280.3436383999742,7131.759237789718
mars_native_staggered,total,0.9728622576603625,0.9863378009892769,-452.06425907922596,7131.192641185814
mars_native_staggered,total,0.9745424438624868,0.9871891631609855,-951.1764652490441,7129.188494986789
mars_native_staggered,total,0.9778733453236222,0.9888747874850599,-976.6989550490904,7124.739841585429
mars_native_staggered,total,0.9843187123660726,0.9921283749425135,-2913.6227771186263,7100.452029422803
mars_native_staggered,total,0.9942433435434939,0.9971175174188316,nan,nan
mars_native_staggered,vacuum,2.1472177611340383e-05,0.004633808111191095,nan,nan
mars_native_staggered,vacuum,0.00010735707459747507,0.01036132590923937,-0.036681495469059265,-4.725509747792606e-06
mars_native_staggered,vacuum,0.00027911588025903415,0.016706761513202797,0.002217314286024713,-4.249469726447636e-06
mars_native_staggered,vacuum,0.0005367392006026118,0.023167632606777323,-0.0003743515962016407,-4.361982771331507e-06
mars_native_staggered,vacuum,0.0008802072366784726,0.029668286716264435,0.00040631255191252825,-4.2049910757827325e-06
mars_native_staggered,vacuum,0.0013094964035694355,0.03618696455312929,0.0003191271770419059,-4.054300266411164e-06
mars_native_staggered,vacuum,0.0018245953340120225,0.04271528220686389,0.0005379932263222304,-3.7540994375769783e-06
mars_native_staggered,vacuum,0.0024254980996628686,0.04924934618513091,0.0008111180693673361,-3.2318980554687215e-06
mars_native_staggered,vacuum,0.003112238042626268,0.05578743624353308,-1.7043209545210067e-05,-3.244334067672642e-06
mars_native_staggered,vacuum,0.0038848922502306687,0.06232890381059712,-0.0014892846124911114,-4.459043638932181e-06
mars_native_staggered,vacuum,0.004743561024367148,0.06887351467993447,-0.000382155197075142,-4.803634745244959e-06
mars_native_staggered,vacuum,0.005688368783583975,0.07542127540411905,-0.00026651569144206164,-5.066928501735813e-06
mars_native_staggered,vacuum,0.006719443906703449,0.0819722142356997,-0.0001395429207004834,-5.216830997696766e-06
mars_native_staggered,vacuum,0.007836908410282296,0.08852631478991033,0.00018475873522356975,-5.002383444031686e-06
mars_native_staggered,vacuum,0.009040879754914567,0.09508354092541235,-8.737267675994363e-05,-5.111359279749888e-06
mars_native_staggered,vacuum,0.010331450617744615,0.10164374362322855,0.0004238606551728675,-4.54597634274682e-06
mars_native_staggered,vacuum,0.011708733774138773,0.10820690261780333,-0.00020734849430553457,-4.840551707291242e-06
mars_native_staggered,vacuum,0.013172881563961038,0.1147731744091843,0.00017104411939385718,-4.582682520295234e-06
mars_native_staggered,vacuum,0.014724048046808227,0.12134268847692566,0.000194928738175861,-4.271826737220693e-06
mars_native_staggered,vacuum,0.016362395633463468,0.12791558010447152,-0.0002546621718175964,-4.700163460620918e-06
